title,price,discprice,images
Granny, 57.99, 57.99,"[<img src=""https://cdn.akamai.steamstatic.com/steam/apps/962400/capsule_sm_120.jpg?t=1585895562"" srcset=""https://cdn.akamai.steamstatic.com/steam/apps/962400/capsule_sm_120.jpg?t=1585895562 1x, https://cdn.akamai.steamstatic.com/steam/apps/962400/capsule_231x87.jpg?t=1585895562 2x""/>]"
HUNTDOWN, 185.99, 185.99,"[<img src=""https://cdn.akamai.steamstatic.com/steam/apps/598550/capsule_sm_120.jpg?t=1621502400"" srcset=""https://cdn.akamai.steamstatic.com/steam/apps/598550/capsule_sm_120.jpg?t=1621502400 1x, https://cdn.akamai.steamstatic.com/steam/apps/598550/capsule_231x87.jpg?t=1621502400 2x""/>]"
Tyranny -  Gold Edition, 456.89, 456.89,"[<img src=""https://cdn.akamai.steamstatic.com/steam/bundles/5879/y8v8pu14quwe4xrv/capsule_sm_120.jpg?t=1541708944"" srcset=""https://cdn.akamai.steamstatic.com/steam/bundles/5879/y8v8pu14quwe4xrv/capsule_sm_120.jpg?t=1541708944 1x, https://cdn.akamai.steamstatic.com/steam/bundles/5879/y8v8pu14quwe4xrv/capsule_231x87.jpg?t=1541708944 2x""/>]"
Shieldwall, 133.99, 133.99,"[<img src=""https://cdn.akamai.steamstatic.com/steam/apps/1216320/capsule_sm_120.jpg?t=1621696731"" srcset=""https://cdn.akamai.steamstatic.com/steam/apps/1216320/capsule_sm_120.jpg?t=1621696731 1x, https://cdn.akamai.steamstatic.com/steam/apps/1216320/capsule_231x87.jpg?t=1621696731 2x""/>]"
EARTH DEFENSE FORCE: IRON RAIN, 527.99, 527.99,"[<img src=""https://cdn.akamai.steamstatic.com/steam/apps/1039890/capsule_sm_120.jpg?t=1589356100"" srcset=""https://cdn.akamai.steamstatic.com/steam/apps/1039890/capsule_sm_120.jpg?t=1589356100 1x, https://cdn.akamai.steamstatic.com/steam/apps/1039890/capsule_231x87.jpg?t=1589356100 2x""/>]"
EA Racing Pack," 3,774.60"," 3,774.60","[<img src=""https://cdn.akamai.steamstatic.com/steam/bundles/1009/11jnbdutxbko90xn/capsule_sm_120.jpg?t=1595693356"" srcset=""https://cdn.akamai.steamstatic.com/steam/bundles/1009/11jnbdutxbko90xn/capsule_sm_120.jpg?t=1595693356 1x, https://cdn.akamai.steamstatic.com/steam/bundles/1009/11jnbdutxbko90xn/capsule_231x87.jpg?t=1595693356 2x""/>]"
Kingdoms of Amalur: Re-Reckoning, 709.00, 709.00,"[<img src=""https://cdn.akamai.steamstatic.com/steam/apps/1041720/capsule_sm_120.jpg?t=1617284317"" srcset=""https://cdn.akamai.steamstatic.com/steam/apps/1041720/capsule_sm_120.jpg?t=1617284317 1x, https://cdn.akamai.steamstatic.com/steam/apps/1041720/capsule_231x87.jpg?t=1617284317 2x""/>]"
Total War: THREE KINGDOMS - A World Betrayed, 123.99, 123.99,"[<img src=""https://cdn.akamai.steamstatic.com/steam/apps/1209110/capsule_sm_120.jpg?t=1586441297"" srcset=""https://cdn.akamai.steamstatic.com/steam/apps/1209110/capsule_sm_120.jpg?t=1586441297 1x, https://cdn.akamai.steamstatic.com/steam/apps/1209110/capsule_231x87.jpg?t=1586441297 2x""/>]"
The Witcher 2: Assassins of Kings Enhanced Edition, 179.99, 179.99,"[<img src=""https://cdn.akamai.steamstatic.com/steam/apps/20920/capsule_sm_120.jpg?t=1621936593"" srcset=""https://cdn.akamai.steamstatic.com/steam/apps/20920/capsule_sm_120.jpg?t=1621936593 1x, https://cdn.akamai.steamstatic.com/steam/apps/20920/capsule_231x87.jpg?t=1621936593 2x""/>]"
Just Cause 3 XXL Edition, 314.76, 314.76,"[<img src=""https://cdn.akamai.steamstatic.com/steam/bundles/7598/qgol10m1sn6f6pyr/capsule_sm_120.jpg?t=1542038958"" srcset=""https://cdn.akamai.steamstatic.com/steam/bundles/7598/qgol10m1sn6f6pyr/capsule_sm_120.jpg?t=1542038958 1x, https://cdn.akamai.steamstatic.com/steam/bundles/7598/qgol10m1sn6f6pyr/capsule_231x87.jpg?t=1542038958 2x""/>]"
PAYDAY 2: Dragon Pack, 82.49, 82.49,"[<img src=""https://cdn.akamai.steamstatic.com/steam/apps/1555040/capsule_sm_120.jpg?t=1623922965"" srcset=""https://cdn.akamai.steamstatic.com/steam/apps/1555040/capsule_sm_120.jpg?t=1623922965 1x, https://cdn.akamai.steamstatic.com/steam/apps/1555040/capsule_231x87.jpg?t=1623922965 2x""/>]"
Skullgirls 2nd Encore, 233.99, 233.99,"[<img src=""https://cdn.akamai.steamstatic.com/steam/apps/245170/capsule_sm_120.jpg?t=1625763424"" srcset=""https://cdn.akamai.steamstatic.com/steam/apps/245170/capsule_sm_120.jpg?t=1625763424 1x, https://cdn.akamai.steamstatic.com/steam/apps/245170/capsule_231x87.jpg?t=1625763424 2x""/>]"
